100 50
1 1 N
1 2 H
1 3 N
1 4 T
1 5 T
1 6 H
1 7 N
1 8 H
1 9 T
1 10 H
1 11 N
1 12 T
1 13 N
1 14 T
1 15 T
1 16 N
1 17 H
1 18 N
1 19 B
1 20 N
1 21 N
1 22 N
1 23 N
1 24 N
1 25 N
1 26 N
1 27 T
1 28 N
1 29 T
1 30 N
1 31 H
1 32 N
1 33 N
1 34 T
1 35 T
1 36 N
1 37 N
1 38 H
1 39 T
1 40 T
1 41 N
1 42 T
1 43 H
1 44 H
1 45 N
1 46 N
1 47 B
1 48 H
1 49 N
1 50 N
2 1 B
2 2 N
2 3 T
2 4 H
2 5 H
2 6 T
2 7 N
2 8 N
2 9 H
2 10 B
2 11 N
2 12 N
2 13 N
2 14 T
2 15 B
2 16 H
2 17 T
2 18 H
2 19 B
2 20 N
2 21 T
2 22 N
2 23 N
2 24 N
2 25 N
2 26 N
2 27 N
2 28 T
2 29 N
2 30 H
2 31 T
2 32 T
2 33 N
2 34 T
2 35 N
2 36 T
2 37 N
2 38 N
2 39 N
2 40 N
2 41 N
2 42 B
2 43 B
2 44 T
2 45 N
2 46 N
2 47 N
2 48 T
2 49 T
2 50 H
3 1 N
3 2 B
3 3 T
3 4 N
3 5 N
3 6 H
3 7 T
3 8 H
3 9 T
3 10 N
3 11 H
3 12 T
3 13 T
3 14 N
3 15 N
3 16 N
3 17 T
3 18 B
3 19 T
3 20 T
3 21 N
3 22 N
3 23 N
3 24 N
3 25 H
3 26 T
3 27 H
3 28 B
3 29 T
3 30 H
3 31 H
3 32 N
3 33 N
3 34 N
3 35 H
3 36 N
3 37 N
3 38 T
3 39 N
3 40 N
3 41 N
3 42 T
3 43 H
3 44 N
3 45 B
3 46 H
3 47 T
3 48 N
3 49 N
3 50 H
4 1 N
4 2 H
4 3 T
4 4 T
4 5 B
4 6 T
4 7 N
4 8 H
4 9 T
4 10 N
4 11 T
4 12 B
4 13 N
4 14 N
4 15 H
4 16 N
4 17 B
4 18 H
4 19 N
4 20 N
4 21 T
4 22 N
4 23 N
4 24 N
4 25 N
4 26 N
4 27 N
4 28 B
4 29 T
4 30 N
4 31 T
4 32 T
4 33 H
4 34 H
4 35 B
4 36 N
4 37 B
4 38 H
4 39 T
4 40 B
4 41 H
4 42 N
4 43 T
4 44 N
4 45 N
4 46 T
4 47 T
4 48 N
4 49 T
4 50 N
5 1 T
5 2 N
5 3 N
5 4 T
5 5 N
5 6 N
5 7 T
5 8 H
5 9 T
5 10 H
5 11 N
5 12 N
5 13 N
5 14 N
5 15 N
5 16 N
5 17 N
5 18 H
5 19 H
5 20 T
5 21 H
5 22 T
5 23 N
5 24 N
5 25 N
5 26 H
5 27 N
5 28 N
5 29 H
5 30 T
5 31 N
5 32 T
5 33 N
5 34 N
5 35 T
5 36 B
5 37 H
5 38 N
5 39 B
5 40 N
5 41 N
5 42 H
5 43 N
5 44 N
5 45 T
5 46 N
5 47 N
5 48 B
5 49 N
5 50 N
6 1 N
6 2 T
6 3 H
6 4 N
6 5 N
6 6 H
6 7 N
6 8 T
6 9 T
6 10 N
6 11 T
6 12 T
6 13 T
6 14 N
6 15 B
6 16 T
6 17 N
6 18 T
6 19 T
6 20 T
6 21 N
6 22 H
6 23 N
6 24 N
6 25 B
6 26 T
6 27 T
6 28 N
6 29 H
6 30 H
6 31 N
6 32 N
6 33 N
6 34 N
6 35 N
6 36 N
6 37 N
6 38 N
6 39 B
6 40 T
6 41 N
6 42 H
6 43 T
6 44 H
6 45 T
6 46 H
6 47 N
6 48 N
6 49 H
6 50 N
7 1 B
7 2 H
7 3 N
7 4 T
7 5 N
7 6 N
7 7 N
7 8 N
7 9 H
7 10 T
7 11 N
7 12 N
7 13 N
7 14 N
7 15 T
7 16 N
7 17 T
7 18 H
7 19 T
7 20 N
7 21 N
7 22 N
7 23 T
7 24 N
7 25 T
7 26 N
7 27 N
7 28 T
7 29 T
7 30 N
7 31 H
7 32 N
7 33 H
7 34 N
7 35 N
7 36 T
7 37 T
7 38 H
7 39 N
7 40 N
7 41 N
7 42 T
7 43 N
7 44 N
7 45 B
7 46 B
7 47 N
7 48 N
7 49 H
7 50 T
8 1 N
8 2 T
8 3 T
8 4 N
8 5 N
8 6 N
8 7 T
8 8 T
8 9 B
8 10 H
8 11 H
8 12 B
8 13 T
8 14 H
8 15 T
8 16 N
8 17 H
8 18 N
8 19 T
8 20 B
8 21 N
8 22 T
8 23 N
8 24 T
8 25 T
8 26 N
8 27 H
8 28 N
8 29 T
8 30 T
8 31 T
8 32 N
8 33 N
8 34 N
8 35 N
8 36 N
8 37 N
8 38 N
8 39 T
8 40 N
8 41 H
8 42 N
8 43 B
8 44 H
8 45 N
8 46 N
8 47 H
8 48 N
8 49 N
8 50 H
9 1 T
9 2 N
9 3 N
9 4 N
9 5 H
9 6 H
9 7 N
9 8 H
9 9 N
9 10 T
9 11 H
9 12 N
9 13 T
9 14 H
9 15 H
9 16 N
9 17 H
9 18 B
9 19 H
9 20 T
9 21 N
9 22 H
9 23 H
9 24 N
9 25 N
9 26 B
9 27 H
9 28 T
9 29 B
9 30 H
9 31 T
9 32 N
9 33 N
9 34 H
9 35 N
9 36 N
9 37 B
9 38 N
9 39 B
9 40 N
9 41 N
9 42 B
9 43 N
9 44 B
9 45 N
9 46 T
9 47 H
9 48 T
9 49 N
9 50 B
10 1 H
10 2 N
10 3 H
10 4 H
10 5 T
10 6 H
10 7 T
10 8 N
10 9 B
10 10 B
10 11 B
10 12 H
10 13 N
10 14 N
10 15 B
10 16 N
10 17 B
10 18 H
10 19 N
10 20 T
10 21 T
10 22 N
10 23 T
