100 50
1 1 T
1 2 H
1 3 T
1 4 N
1 5 B
1 6 N
1 7 N
1 8 T
1 9 H
1 10 N
1 11 N
1 12 H
1 13 B
1 14 H
1 15 B
1 16 N
1 17 N
1 18 T
1 19 N
1 20 N
1 21 N
1 22 N
1 23 H
1 24 N
1 25 B
1 26 N
1 27 N
1 28 N
1 29 T
1 30 T
1 31 N
1 32 N
1 33 N
1 34 T
1 35 N
1 36 N
1 37 N
1 38 N
1 39 N
1 40 T
1 41 T
1 42 N
1 43 N
1 44 N
1 45 H
1 46 B
1 47 N
1 48 H
1 49 N
1 50 T
2 1 T
2 2 T
2 3 N
2 4 T
2 5 B
2 6 T
2 7 N
2 8 H
2 9 N
2 10 N
2 11 N
2 12 N
2 13 N
2 14 N
2 15 H
2 16 N
2 17 N
2 18 H
2 19 N
2 20 H
2 21 B
2 22 T
2 23 B
2 24 N
2 25 T
2 26 B
2 27 N
2 28 T
2 29 T
2 30 T
2 31 N
2 32 H
2 33 H
2 34 N
2 35 N
2 36 N
2 37 H
2 38 N
2 39 N
2 40 N
2 41 H
2 42 N
2 43 H
2 44 H
2 45 N
2 46 B
2 47 H
2 48 H
2 49 H
2 50 H
3 1 N
3 2 H
3 3 H
3 4 T
3 5 N
3 6 N
3 7 H
3 8 T
3 9 B
3 10 H
3 11 H
3 12 B
3 13 N
3 14 H
3 15 B
3 16 N
3 17 H
3 18 H
3 19 T
3 20 N
3 21 T
3 22 N
3 23 H
3 24 B
3 25 N
3 26 H
3 27 N
3 28 N
3 29 T
3 30 N
3 31 N
3 32 H
3 33 H
3 34 N
3 35 T
3 36 B
3 37 N
3 38 N
3 39 N
3 40 T
3 41 N
3 42 T
3 43 H
3 44 N
3 45 T
3 46 N
3 47 H
3 48 N
3 49 N
3 50 N
4 1 N
4 2 B
4 3 N
4 4 B
4 5 N
4 6 N
4 7 B
4 8 H
4 9 N
4 10 T
4 11 T
4 12 N
4 13 N
4 14 H
4 15 H
4 16 H
4 17 N
4 18 N
4 19 N
4 20 N
4 21 H
4 22 T
4 23 H
4 24 N
4 25 T
4 26 H
4 27 B
4 28 N
4 29 H
4 30 H
4 31 H
4 32 N
4 33 B
4 34 T
4 35 N
4 36 N
4 37 T
4 38 N
4 39 N
4 40 T
4 41 N
4 42 N
4 43 N
4 44 T
4 45 N
4 46 N
4 47 N
4 48 N
4 49 B
4 50 H
5 1 H
5 2 H
5 3 N
5 4 T
5 5 N
5 6 T
5 7 N
5 8 N
5 9 B
5 10 H
5 11 N
5 12 N
5 13 N
5 14 H
5 15 N
5 16 B
5 17 H
5 18 N
5 19 N
5 20 N
5 21 N
5 22 N
5 23 N
5 24 H
5 25 N
5 26 N
5 27 N
5 28 B
5 29 H
5 30 N
5 31 N
5 32 H
5 33 N
5 34 B
5 35 N
5 36 N
5 37 N
5 38 N
5 39 N
5 40 T
5 41 N
5 42 H
5 43 N
5 44 N
5 45 N
5 46 H
5 47 H
5 48 B
5 49 T
5 50 H
6 1 B
6 2 H
6 3 N
6 4 H
6 5 N
6 6 H
6 7 N
6 8 T
6 9 B
6 10 H
6 11 N
6 12 T
6 13 B
6 14 H
6 15 N
6 16 N
6 17 T
6 18 H
6 19 N
6 20 N
6 21 N
6 22 B
6 23 T
6 24 N
6 25 T
6 26 N
6 27 H
6 28 H
6 29 N
6 30 H
6 31 H
6 32 N
6 33 N
6 34 N
6 35 B
6 36 H
6 37 N
6 38 T
6 39 H
6 40 N
6 41 B
6 42 B
6 43 N
6 44 N
6 45 T
6 46 N
6 47 N
6 48 B
6 49 T
6 50 N
7 1 T
7 2 T
7 3 H
7 4 H
7 5 B
7 6 N
7 7 N
7 8 B
7 9 T
7 10 T
7 11 N
7 12 T
7 13 N
7 14 N
7 15 T
7 16 N
7 17 T
7 18 N
7 19 N
7 20 H
7 21 N
7 22 N
7 23 B
7 24 N
7 25 N
7 26 N
7 27 N
7 28 N
7 29 N
7 30 N
7 31 H
7 32 H
7 33 T
7 34 N
7 35 N
7 36 H
7 37 N
7 38 T
7 39 H
7 40 T
7 41 H
7 42 T
7 43 N
7 44 T
7 45 N
7 46 H
7 47 N
7 48 T
7 49 N
7 50 N
8 1 T
8 2 N
8 3 H
8 4 N
8 5 N
8 6 N
8 7 H
8 8 N
8 9 N
8 10 N
8 11 N
8 12 N
8 13 T
8 14 H
8 15 B
8 16 B
8 17 N
8 18 H
8 19 B
8 20 H
8 21 H
8 22 T
8 23 T
8 24 B
8 25 T
8 26 N
8 27 N
8 28 N
8 29 N
8 30 H
8 31 T
8 32 N
8 33 N
8 34 T
8 35 B
8 36 N
8 37 N
8 38 N
8 39 H
8 40 N
8 41 B
8 42 N
8 43 H
8 44 N
8 45 B
8 46 H
8 47 H
8 48 B
8 49 N
8 50 H
9 1 H
9 2 T
9 3 H
9 4 N
9 5 N
9 6 H
9 7 N
9 8 B
9 9 T
9 10 N
9 11 N
9 12 T
9 13 N
9 14 B
9 15 N
9 16 H
9 17 N
9 18 T
9 19 B
9 20 B
9 21 B
9 22 B
9 23 N
9 24 N
9 25 H
9 26 T
9 27 H
9 28 N
9 29 N
9 30 N
9 31 N
9 32 N
9 33 T
9 34 N
9 35 N
9 36 N
9 37 N
9 38 N
9 39 T
9 40 N
9 41 B
9 42 N
9 43 N
9 44 N
9 45 H
9 46 N
9 47 N
9 48 T
9 49 N
9 50 N
10 1 T
10 2 N
10 3 H
10 4 T
10 5 H
10 6 T
10 7 H
10 8 T
10 9 N
10 10 N
10 11 B
10 12 N
10 13 T
10 14 N
10 15 T
10 16 H
10 17 T
10 18 N
10 19 T
10 20 N
10 21 B
10 22 H
10 23 N
10 24 N
10 25 H
10 26 T
10 27 N
10 28 N
10 29 N
10 30 N
10 31 N
10 32 H
10 33 N
10 34 H
10 35 N
10 36 H
10 37 N
10 38 N
10 39 N
10 40 T
10 41 N
10 42 H
10 43 N
10 44 B
10 45 B
10 46 H
10 47 N
10 48 H
10 49 N
10 50 H
11 1 N
11 2 N
11 3 T
11 4 N
11 5 H
11 6 N
11 7 T
11 8 N
11 9 H
11 10 H
11 11 N
11 12 H
11 13 N
11 14 T
11 15 B
11 16 H
11 17 N
11 18 T
11 19 T
11 20 T
11 21 N
11 22 N
11 23 T
11 24 B
11 25 T
11 26 H
11 27 N
11 28 T
11 29 T
11 30 H
11 31 H
11 32 H
11 33 T
11 34 H
11 35 N
11 36 N
11 37 T
11 38 N
11 39 N
11 40 N
11 41 T
11 42 N
11 43 N
11 44 N
11 45 N
11 46 B
11 47 N
11 48 T
11 49 N
11 50 N
12 1 H
12 2 N
12 3 T
12 4 T
12 5 N
12 6 N
12 7 T
12 8 N
12 9 N
12 10 N
12 11 T
12 12 N
12 13 N
12 14 B
12 15 H
12 16 H
12 17 T
12 18 T
