100 50
1 1 N
1 2 N
1 3 N
1 4 H
1 5 N
1 6 N
1 7 N
1 8 B
1 9 N
1 10 N
1 11 T
1 12 B
1 13 T
1 14 N
1 15 N
1 16 N
1 17 N
1 18 B
1 19 N
1 20 N
1 21 B
1 22 H
1 23 N
1 24 H
1 25 N
1 26 N
1 27 N
1 28 N
1 29 N
1 30 N
1 31 T
1 32 N
1 33 N
1 34 H
1 35 T
1 36 N
1 37 H
1 38 N
1 39 N
1 40 T
1 41 N
1 42 N
1 43 T
1 44 N
1 45 N
1 46 N
1 47 H
1 48 N
1 49 N
1 50 N
2 1 H
2 2 H
2 3 N
2 4 T
2 5 B
2 6 T
2 7 H
2 8 N
2 9 T
2 10 T
2 11 H
2 12 N
2 13 T
2 14 H
2 15 H
2 16 N
2 17 T
2 18 N
2 19 H
2 20 B
2 21 N
2 22 N
2 23 N
2 24 T
2 25 H
2 26 N
2 27 N
2 28 N
2 29 T
2 30 N
2 31 N
2 32 N
2 33 N
2 34 N
2 35 T
2 36 T
2 37 N
2 38 H
2 39 H
2 40 B
2 41 N
2 42 N
2 43 N
2 44 N
2 45 B
2 46 B
2 47 N
2 48 N
2 49 B
2 50 H
3 1 N
3 2 N
3 3 H
3 4 N
3 5 N
3 6 N
3 7 N
3 8 N
3 9 T
3 10 N
3 11 T
3 12 H
3 13 N
3 14 H
3 15 T
3 16 T
3 17 N
3 18 N
3 19 N
3 20 B
3 21 N
3 22 N
3 23 T
3 24 N
3 25 N
3 26 N
3 27 N
3 28 N
3 29 N
3 30 N
3 31 H
3 32 N
3 33 N
3 34 T
3 35 H
3 36 H
3 37 T
3 38 T
3 39 H
3 40 T
3 41 H
3 42 N
3 43 N
3 44 H
3 45 B
3 46 N
3 47 H
3 48 N
3 49 H
3 50 H
4 1 N
4 2 H
4 3 N
4 4 N
4 5 N
4 6 T
4 7 T
4 8 N
4 9 N
4 10 H
4 11 H
4 12 N
4 13 B
4 14 N
4 15 N
4 16 N
4 17 N
4 18 T
4 19 H
4 20 B
4 21 H
4 22 N
4 23 T
4 24 N
4 25 T
4 26 N
4 27 T
4 28 N
4 29 T
4 30 T
4 31 B
4 32 T
4 33 H
4 34 T
4 35 N
4 36 B
4 37 B
4 38 H
4 39 N
4 40 T
4 41 N
4 42 T
4 43 N
4 44 H
4 45 N
4 46 H
4 47 T
4 48 N
4 49 T
4 50 T
5 1 H
5 2 B
5 3 T
5 4 N
5 5 H
5 6 B
5 7 N
5 8 T
5 9 N
5 10 T
5 11 T
5 12 T
5 13 B
5 14 H
5 15 B
5 16 T
5 17 N
5 18 N
5 19 T
5 20 N
5 21 T
5 22 N
5 23 H
5 24 T
5 25 T
5 26 N
5 27 N
5 28 T
5 29 N
5 30 N
5 31 N
5 32 N
5 33 N
5 34 N
5 35 H
5 36 N
5 37 N
5 38 N
5 39 N
5 40 H
5 41 N
5 42 N
5 43 T
5 44 N
5 45 H
5 46 N
5 47 T
5 48 N
5 49 H
5 50 N
6 1 T
6 2 B
6 3 H
6 4 B
6 5 H
6 6 H
6 7 N
6 8 N
6 9 N
6 10 H
6 11 N
6 12 N
6 13 N
6 14 H
6 15 N
6 16 N
6 17 N
6 18 N
6 19 N
6 20 H
6 21 N
6 22 H
6 23 N
6 24 N
6 25 N
6 26 N
6 27 T
6 28 N
6 29 T
6 30 T
6 31 T
6 32 N
6 33 T
6 34 N
6 35 N
6 36 N
6 37 H
6 38 H
6 39 N
6 40 N
6 41 N
6 42 H
6 43 H
6 44 N
6 45 N
6 46 T
6 47 N
6 48 N
6 49 T
6 50 N
7 1 N
7 2 H
7 3 N
7 4 T
7 5 N
7 6 N
7 7 H
7 8 N
7 9 T
7 10 H
7 11 T
7 12 N
7 13 T
7 14 N
7 15 H
7 16 H
7 17 N
7 18 N
7 19 N
7 20 H
7 21 N
7 22 N
7 23 H
7 24 N
7 25 N
7 26 H
7 27 H
7 28 N
7 29 N
7 30 T
7 31 N
7 32 H
7 33 N
7 34 B
7 35 T
7 36 N
7 37 N
7 38 B
7 39 H
7 40 N
7 41 N
7 42 N
7 43 N
7 44 N
7 45 N
7 46 N
7 47 T
7 48 H
7 49 H
7 50 T
8 1 T
8 2 N
8 3 N
8 4 T
8 5 B
8 6 N
8 7 H
8 8 N
8 9 N
8 10 H
8 11 T
8 12 B
8 13 T
8 14 T
8 15 N
8 16 H
8 17 H
8 18 H
8 19 N
8 20 B
8 21 H
8 22 T
8 23 N
8 24 N
8 25 T
8 26 H
8 27 N
8 28 H
8 29 B
8 30 N
8 31 H
8 32 N
8 33 B
8 34 B
8 35 N
8 36 B
8 37 H
8 38 B
8 39 T
8 40 N
8 41 N
8 42 H
8 43 N
8 44 H
8 45 N
8 46 H
8 47 B
8 48 T
8 49 N
8 50 N
9 1 H
9 2 N
9 3 N
9 4 N
9 5 N
9 6 N
9 7 N
9 8 N
9 9 N
9 10 H
9 11 N
9 12 N
9 13 T
9 14 N
9 15 B
9 16 N
9 17 N
9 18 N
9 19 N
9 20 N
9 21 H
9 22 T
9 23 N
9 24 B
9 25 H
9 26 B
9 27 N
9 28 H
9 29 H
9 30 T
9 31 H
9 32 T
9 33 B
9 34 N
9 35 N
9 36 H
9 37 N
9 38 T
9 39 B
9 40 N
9 41 B
9 42 N
9 43 N
9 44 H
9 45 H
9 46 N
9 47 T
9 48 N
9 49 H
9 50 H
10 1 T
10 2 T
10 3 N
10 4 H
10 5 B
10 6 N
10 7 N
10 8 H
10 9 N
10 10 H
10 11 H
10 12 N
10 13 T
10 14 H
10 15 N
10 16 H
10 17 H
10 18 N
10 19 N
10 20 H
10 21 N
10 22 N
10 23 N
10 24 H
10 25 T
10 26 N
10 27 T
10 28 B
10 29 N
10 30 N
10 31 N
10 32 N
10 33 T
10 34 N
10 35 N
10 36 H
10 37 N
10 38 B
10 39 N
10 40 N
10 41 N
10 42 N
10 43 H
10 44 B
10 45 N
10 46 B
10 47 T
10 48 T
10 49 B
10 50 N
11 1 N
11 2 B
11 3 N
11 4 H
11 5 T
11 6 N
11 7 N
11 8 B
11 9 N
11 10 T
11 11 N
11 12 B
11 13 N
11 14 B
11 15 N
11 16 T
11 17 T
11 18 N
11 19 T
11 20 T
11 21 N
11 22 B
11 23 N
11 24 N
11 25 N
11 26 N
11 27 N
11 28 N
11 29 H
11 30 T
11 31 B
11 32 B
11 33 N
11 34 H
11 35 H
11 36 N
11 37 N
11 38 N
11 39 T
11 40 H
11 41 H
11 42 N
11 43 N
11 44 T
11 45 N
11 46 H
11 47 H
11 48 H
11 49 N
11 50 N
12 1 N
12 2 N
12 3 N
12 4 H
12 5 N
12 6 B
12 7 B
12 8 N
12 9 T
12 10 N
12 11 N
12 12 N
12 13 H
12 14 N
12 15 T
12 16 N
12 17 N
12 18 N
12 19 N
12 20 H
12 21 T
12 22 H
12 23 N
12 24 N
12 25 N
12 26 B
12 27 H
12 28 N
12 29 N
12 30 N
12 31 H
12 32 N
12 33 N
12 34 H
12 35 T
12 36 N
12 37 N
12 38 H
12 39 T
12 40 T
12 41 N
12 42 B
12 43 N
12 44 T
12 45 T
12 46 N
12 47 T
12 48 H
12 49 B
12 50 B
13 1 T
13 2 B
13 3 N
13 4 N
13 5 H
13 6 T
13 7 H
13 8 N
13 9 T
13 10 T
13 11 N
13 12 N
13 13 T
13 14 N
13 15 N
13 16 H
13 17 N
13 18 T
13 19 N
13 20 N
13 21 N
13 22 T
13 23 H
13 24 T
13 25 N
13 26 T
13 27 N
13 28 N
13 29 N
13 30 H
13 31 N
13 32 T
13 33 H
13 34 N
13 35 H
13 36 N
13 37 H
13 38 H
13 39 N
13 40 N
13 41 T
13 42 N
13 43 N
13 44 H
13 45 H
13 46 H
13 47 N
13 48 B
13 49 N
13 50 T
14 1 N
14 2 H
14 3 T
14 4 T
14 5 T
14 6 N
14 7 N
14 8 N
14 9 B
14 10 N
14 11 N
14 12 H
14 13 T
14 14 T
14 15 N
14 16 N
14 17 N
14 18 B
14 19 T
14 20 H
14 21 B
14 22 N
14 23 H
14 24 H
14 25 N
14 26 H
14 27 B
14 28 N
14 29 T
14 30 N
14 31 H
14 32 N
14 33 N
14 34 N
14 35 N
14 36 H
14 37 H
14 38 N
14 39 N
14 40 T
14 41 N
14 42 N
14 43 N
14 44 T
14 45 H
14 46 N
14 47 T
14 48 N
14 49 N
14 50 N
15 1 T
15 2 H
15 3 N
15 4 N
15 5 H
15 6 N
15 7 N
15 8 N
15 9 N
15 10 N
15 11 N
15 12 N
15 13 N
15 14 N
15 15 N
15 16 H
15 17 N
15 18 T
15 19 N
15 20 N
15 21 N
15 22 N
15 23 T
15 24 N
15 25 N
15 26 B
15 27 N
15 28 H
15 29 T
15 30 N
15 31 N
15 32 H
15 33 T
15 34 N
15 35 N
15 36 N
15 37 B
15 38 T
15 39 T
15 40 H
15 41 T
15 42 T
15 43 T
15 44 N
15 45 T
15 46 H
15 47 H
15 48 N
15 49 N
15 50 N
16 1 H
16 2 N
16 3 N
16 4 H
16 5 N
16 6 N
16 7 N
16 8 B
16 9 H
16 10 N
16 11 N
16 12 N
16 13 N
16 14 N
16 15 N
16 16 T
16 17 N
16 18 N
16 19 N
16 20 N
16 21 H
16 22 T
16 23 N
16 24 B
16 25 N
16 26 T
16 27 N
16 28 T
16 29 H
16 30 N
16 31 T
16 32 N
16 33 T
16 34 H
16 35 B
16 36 N
16 37 N
16 38 N
16 39 H
16 40 N
16 41 T
16 42 B
16 43 N
16 44 N
16 45 T
16 46 T
16 47 T
16 48 T
16 49 H
16 50 N
17 1 H
17 2 T
17 3 H
17 4 N
17 5 H
17 6 T
17 7 N
17 8 N
17 9 H
17 10 N
17 11 N
17 12 N
17 13 T
17 14 H
17 15 H
17 16 N
17 17 H
17 18 N
17 19 N
17 20 N
17 21 N
17 22 N
17 23 T
17 24 N
17 25 N
17 26 N
17 27 N
17 28 T
17 29 T
17 30 H
17 31 N
17 32 H
17 33 N
17 34 B
17 35 H
17 36 N
17 37 T
17 38 N
17 39 N
17 40 H
17 41 B
17 42 N
17 43 H
17 44 N
17 45 T
17 46 H
17 47 N
17 48 T
17 49 T
17 50 H
18 1 B
18 2 N
18 3 N
18 4 T
18 5 N
18 6 H
18 7 N
18 8 H
18 9 B
18 10 N
18 11 H
18 12 N
18 13 H
18 14 H
18 15 T
