100 50
1 1 N
1 2 B
1 3 H
1 4 H
1 5 H
1 6 T
1 7 N
1 8 H
1 9 N
1 10 T
1 11 H
1 12 N
1 13 N
1 14 T
1 15 H
1 16 N
1 17 T
1 18 B
1 19 N
1 20 N
1 21 N
1 22 H
1 23 N
1 24 B
1 25 B
1 26 H
1 27 B
1 28 H
1 29 T
1 30 N
1 31 N
1 32 T
1 33 T
1 34 N
1 35 N
1 36 T
1 37 T
1 38 H
1 39 H
1 40 N
1 41 H
1 42 N
1 43 T
1 44 T
1 45 N
1 46 N
1 47 T
1 48 B
1 49 H
1 50 N
2 1 B
2 2 H
2 3 N
2 4 T
2 5 N
2 6 T
2 7 N
2 8 N
2 9 N
2 10 N
2 11 H
2 12 N
2 13 N
2 14 N
2 15 N
2 16 B
2 17 N
2 18 N
2 19 N
2 20 N
2 21 N
2 22 N
2 23 N
2 24 T
2 25 N
2 26 H
2 27 N
2 28 N
2 29 N
2 30 B
2 31 B
2 32 N
2 33 H
2 34 T
2 35 N
2 36 N
2 37 T
2 38 H
2 39 N
2 40 N
2 41 T
2 42 H
2 43 N
2 44 N
2 45 H
2 46 N
2 47 H
2 48 N
2 49 T
2 50 T
3 1 N
3 2 H
3 3 T
3 4 N
3 5 N
3 6 N
3 7 H
3 8 N
3 9 N
3 10 N
3 11 N
3 12 B
3 13 T
3 14 N
3 15 N
3 16 T
3 17 H
3 18 N
3 19 N
3 20 T
3 21 N
3 22 N
3 23 H
3 24 H
3 25 H
3 26 N
3 27 T
3 28 N
3 29 B
3 30 N
3 31 T
3 32 N
3 33 N
3 34 T
3 35 H
3 36 B
3 37 H
3 38 N
3 39 B
3 40 N
3 41 H
3 42 H
3 43 N
3 44 N
3 45 B
3 46 N
3 47 N
3 48 T
3 49 T
3 50 H
4 1 N
4 2 N
4 3 N
4 4 N
4 5 N
4 6 H
4 7 N
4 8 N
4 9 N
4 10 N
4 11 N
4 12 N
4 13 N
4 14 N
4 15 B
4 16 T
4 17 N
4 18 B
4 19 N
4 20 N
4 21 H
4 22 N
4 23 N
4 24 H
4 25 H
4 26 N
4 27 N
4 28 B
4 29 N
4 30 B
4 31 N
4 32 T
4 33 N
4 34 T
4 35 H
4 36 T
4 37 N
4 38 H
4 39 B
4 40 B
4 41 N
4 42 N
4 43 H
4 44 N
4 45 T
4 46 N
4 47 T
4 48 T
4 49 H
4 50 N
5 1 H
5 2 N
5 3 N
5 4 N
5 5 B
5 6 N
5 7 T
5 8 T
5 9 T
5 10 N
5 11 H
5 12 N
5 13 N
5 14 T
5 15 N
5 16 N
5 17 T
5 18 B
5 19 N
5 20 N
5 21 N
5 22 N
5 23 N
5 24 N
5 25 N
5 26 N
5 27 T
5 28 N
5 29 N
5 30 N
5 31 T
5 32 N
5 33 H
5 34 N
5 35 N
5 36 N
5 37 N
5 38 N
5 39 T
5 40 T
5 41 N
5 42 B
5 43 N
5 44 N
5 45 N
5 46 H
5 47 N
5 48 B
5 49 N
5 50 H
6 1 B
6 2 H
6 3 N
6 4 T
6 5 N
6 6 H
6 7 B
6 8 N
6 9 N
6 10 N
6 11 N
6 12 N
6 13 N
6 14 N
6 15 T
6 16 B
6 17 N
6 18 N
6 19 B
6 20 T
6 21 T
6 22 N
6 23 T
6 24 T
6 25 T
6 26 T
6 27 H
6 28 N
6 29 N
6 30 N
6 31 N
6 32 N
6 33 N
6 34 N
6 35 N
6 36 H
6 37 T
6 38 B
6 39 N
6 40 T
6 41 H
6 42 N
6 43 N
6 44 N
6 45 N
6 46 N
6 47 N
6 48 B
6 49 H
6 50 N
7 1 H
7 2 T
7 3 T
7 4 N
7 5 N
7 6 H
7 7 T
7 8 N
7 9 H
7 10 N
7 11 T
7 12 H
7 13 H
7 14 N
7 15 H
7 16 T
7 17 N
7 18 T
7 19 H
7 20 H
7 21 N
7 22 N
7 23 B
7 24 N
7 25 N
7 26 B
7 27 T
7 28 N
7 29 H
7 30 T
7 31 N
7 32 H
7 33 T
7 34 T
7 35 N
7 36 T
7 37 N
7 38 T
7 39 B
7 40 N
7 41 T
7 42 B
7 43 N
7 44 B
7 45 N
7 46 N
7 47 N
7 48 T
7 49 N
7 50 T
8 1 H
8 2 N
8 3 N
8 4 H
8 5 H
8 6 H
8 7 N
8 8 N
8 9 B
8 10 N
8 11 H
8 12 N
8 13 N
8 14 T
8 15 H
8 16 B
8 17 N
8 18 H
8 19 H
8 20 T
8 21 N
8 22 T
8 23 N
8 24 N
8 25 B
8 26 N
8 27 N
8 28 T
8 29 N
8 30 N
8 31 N
8 32 H
8 33 T
8 34 H
8 35 H
8 36 T
8 37 N
8 38 H
8 39 B
8 40 H
8 41 H
8 42 N
8 43 H
8 44 H
8 45 N
8 46 T
8 47 N
8 48 N
8 49 N
8 50 N
9 1 N
9 2 N
9 3 T
9 4 B
9 5 N
9 6 T
9 7 N
9 8 H
9 9 T
9 10 B
9 11 B
9 12 H
9 13 N
9 14 N
9 15 B
9 16 N
9 17 N
9 18 H
9 19 T
9 20 B
9 21 N
9 22 N
9 23 H
9 24 B
9 25 N
9 26 N
9 27 H
9 28 N
9 29 T
9 30 N
9 31 N
9 32 N
9 33 H
9 34 N
9 35 N
9 36 N
9 37 H
9 38 B
9 39 B
9 40 N
9 41 B
9 42 N
9 43 N
9 44 N
9 45 N
9 46 N
9 47 T
9 48 N
9 49 N
9 50 H
10 1 N
10 2 T
10 3 N
10 4 B
10 5 N
10 6 B
10 7 N
10 8 T
10 9 N
10 10 N
10 11 N
10 12 T
10 13 N
10 14 N
10 15 T
10 16 N
10 17 T
10 18 H
10 19 N
10 20 N
10 21 N
10 22 H
10 23 H
10 24 B
10 25 T
10 26 B
10 27 H
10 28 N
10 29 N
10 30 N
10 31 H
10 32 H
10 33 N
10 34 B
10 35 T
10 36 N
10 37 T
10 38 N
10 39 N
10 40 T
10 41 B
10 42 H
10 43 H
10 44 T
10 45 N
10 46 H
10 47 N
10 48 T
10 49 N
10 50 B
11 1 N
11 2 T
11 3 T
11 4 N
11 5 N
11 6 H
11 7 N
11 8 N
11 9 T
11 10 N
11 11 N
11 12 B
11 13 H
11 14 H
11 15 N
11 16 H
11 17 B
11 18 N
11 19 T
11 20 B
11 21 N
11 22 T
11 23 T
11 24 B
11 25 N
11 26 B
11 27 H
11 28 N
11 29 N
11 30 B
11 31 T
11 32 B
11 33 B
11 34 H
11 35 T
11 36 N
11 37 N
11 38 N
11 39 T
11 40 N
11 41 N
11 42 N
11 43 H
11 44 B
11 45 B
11 46 H
11 47 B
11 48 N
11 49 B
11 50 N
12 1 T
12 2 N
12 3 N
12 4 B
12 5 N
12 6 N
12 7 H
12 8 N
12 9 N
12 10 T
12 11 N
12 12 N
12 13 N
12 14 B
12 15 H
12 16 N
12 17 H
12 18 T
12 19 T
12 20 B
12 21 T
12 22 N
12 23 N
12 24 H
12 25 T
12 26 H
12 27 H
12 28 T
12 29 N
12 30 T
12 31 B
12 32 B
12 33 T
12 34 T
12 35 N
12 36 T
12 37 N
12 38 H
12 39 N
12 40 T
12 41 N
12 42 T
12 43 B
12 44 N
12 45 T
12 46 T
12 47 B
12 48 H
12 49 N
12 50 T
13 1 N
13 2 T
13 3 T
13 4 N
13 5 N
13 6 T
13 7 N
13 8 T
13 9 N
13 10 N
13 11 T
13 12 N
13 13 T
13 14 N
13 15 B
13 16 N
13 17 T
13 18 H
13 19 N
13 20 N
13 21 T
13 22 T
13 23 B
13 24 N
13 25 H
13 26 H
13 27 N
13 28 T
13 29 N
13 30 T
13 31 H
13 32 N
13 33 N
13 34 B
13 35 N
13 36 N
13 37 B
13 38 T
13 39 N
13 40 N
13 41 N
13 42 N
13 43 B
13 44 H
13 45 T
13 46 H
13 47 N
13 48 N
13 49 N
13 50 N
14 1 N
14 2 H
14 3 H
14 4 B
14 5 N
14 6 N
14 7 N
14 8 N
14 9 N
14 10 T
14 11 N
14 12 B
14 13 N
14 14 N
14 15 B
14 16 N
14 17 N
14 18 N
14 19 H
14 20 N
14 21 T
14 22 B
14 23 B
14 24 N
14 25 T
14 26 N
14 27 N
14 28 H
14 29 N
14 30 H
14 31 T
14 32 N
14 33 T
14 34 N
14 35 N
14 36 H
14 37 N
14 38 N
14 39 N
14 40 N
14 41 N
14 42 T
14 43 N
14 44 N
14 45 H
14 46 T
14 47 N
14 48 T
14 49 N
14 50 H
15 1 N
15 2 H
15 3 T
15 4 B
15 5 N
15 6 N
15 7 T
15 8 H
15 9 N
15 10 B
15 11 T
15 12 N
15 13 H
15 14 T
15 15 N
15 16 N
15 17 N
15 18 N
15 19 H
15 20 N
15 21 T
15 22 N
15 23 N
15 24 N
15 25 N
15 26 N
15 27 H
15 28 T
15 29 H
15 30 H
15 31 N
15 32 H
15 33 N
15 34 T
15 35 B
15 36 N
15 37 H
15 38 N
15 39 H
15 40 T
15 41 N
15 42 T
15 43 B
15 44 N
15 45 N
15 46 N
15 47 N
15 48 T
15 49 N
15 50 N
16 1 T
16 2 N
16 3 H
16 4 N
16 5 H
16 6 T
16 7 T
16 8 N
16 9 T
16 10 N
16 11 N
16 12 N
16 13 T
16 14 N
16 15 N
16 16 N
16 17 N
16 18 N
16 19 T
16 20 T
16 21 N
16 22 H
16 23 N
16 24 N
16 25 H
16 26 N
16 27 B
16 28 B
16 29 H
16 30 B
16 31 N
16 32 B
16 33 T
16 34 N
16 35 N
16 36 H
16 37 T
16 38 T
16 39 H
16 40 N
16 41 H
16 42 N
16 43 N
16 44 B
16 45 T
16 46 N
16 47 N
16 48 T
16 49 H
16 50 N
17 1 B
17 2 N
17 3 N
17 4 B
17 5 N
17 6 N
17 7 B
17 8 H
17 9 N
17 10 N
17 11 H
17 12 N
17 13 N
17 14 H
17 15 H
17 16 T
17 17 H
17 18 H
17 19 N
17 20 B
17 21 H
17 22 T
17 23 N
17 24 T
17 25 N
17 26 T
17 27 B
17 28 T
17 29 N
17 30 T
17 31 N
17 32 T
17 33 N
17 34 H
17 35 N
17 36 N
17 37 T
17 38 N
17 39 T
17 40 N
17 41 N
17 42 N
17 43 T
17 44 N
