23, 44
23, 44
22, 44
21, 44
21, 45
21, 45
22, 45
22, 46
23, 46
23, 45
22, 45
22, 46
22, 45
23, 45
24, 45
24, 46
24, 47
24, 48
23, 48
23, 47
23, 48
24, 48
24, 47
24, 46
23, 46
23, 47
22, 47
23, 47
24, 47
25, 47
25, 46
24, 46
25, 46
24, 46
25, 46
25, 46
25, 46
24, 46
25, 46
25, 46
25, 46
25, 46
26, 46
25, 46
25, 46
25, 47
24, 47
23, 47
23, 47
22, 47
22, 46
22, 46
22, 45
22, 44
22, 43
22, 42
22, 43
22, 44
22, 45
21, 45
20, 45
21, 45
22, 45
22, 44
21, 44
21, 45
21, 44
22, 44
23, 44
23, 43
23, 44
22, 44
22, 44
22, 45
22, 44
23, 44
23, 43
23, 43
24, 43
24, 44
24, 44
23, 44
23, 45
23, 46
24, 46
24, 46
24, 45
24, 46
24, 47
24, 48
24, 47
24, 46
23, 46
24, 46
25, 46
25, 47
25, 46
25, 46
25, 47
25, 46
25, 47
DUURRDRDLURLDDRRRULRDLLURUDDDLUDUDLLUDLLLDULRUULULULLLLRRRUUDDLURLDDLRUDRLDLRDRLURRDDLRRRLLUDDRLLRLR
HTNTTHNNTHNHTTTHTTNNNHTNNHNNHNTNTNNNTTNNNTNNHHNNHNNHTNTTTHTHTHHNHTTHNHTTHTHNNTNNHHNTTNTHNHTNTNHHNHNH
